155831509;1681887005;1681887006;
155831509;1681887006;1681887004;
155831509;1681887004;1681887002;
155831509;1681887002;1681887000;
155831509;1681887000;1681886997;
155831509;1681886997;1681886999;
155831509;1681886999;1681887001;
155831509;1681887001;1681887003;
155831509;1681887003;1681887008;
155831509;1681887008;1681887009;
155831509;1681887009;1681887010;
155831510;1681887015;1681887014;
155831510;1681887014;1681887013;
155831510;1681887013;1681887016;
139129813;1524892962;1524892964;
139129815;1646529635;2211502009;
139129815;2211502009;772873139;
139129818;772873296;1524892962;
139129818;1524892962;772873139;
139132382;1257471292;441803592;
139132384;1257471293;1257471292;
139132385;772873292;1257471284;
139132385;1257471284;1257471283;
139132393;441803330;1524901219;
139132393;1524901219;1524901217;
139132391;1257471277;1524901221;
139132391;1524901221;1524901223;
139132391;1524901223;772873292;
139140308;1524931200;1524931204;
139140310;1524931211;1524931212;
139140310;1524931212;1524931210;
139140310;1524931210;1524931208;
139140310;1524931208;1524931211;
139140313;771439432;1524931206;
139140313;1524931206;1524931204;
139140313;1524931204;1524931202;
139140313;1524931202;1524931193;
41442202;506859191;506859190;
41442203;506859193;506859192;
41442206;506859471;506859472;
41442212;506859484;1163609283;
41442212;1163609283;771439740;
41442212;771439740;771440352;
41442212;771440352;506859483;
37680691;441803282;441803285;
37680691;441803285;441803287;
37680691;441803287;441803289;
37680691;441803289;441803291;
37680691;441803291;1163690625;
37680691;1163690625;441803105;
37680676;441802794;1681887016;
37680676;1681887016;441802796;
37680676;441802796;441805488;
37680676;441805488;443809275;
37680676;443809275;443813089;
37680676;443813089;443813090;
37680676;443813090;3105978458;
37680676;3105978458;441802854;
37680700;441803393;3588636395;
37680700;3588636395;1252555550;
37680700;1252555550;1252555549;
37680700;1252555549;441803401;
37680700;441803401;441803322;
37680700;441803322;441803367;
37680700;441803367;441803070;
37680700;441803070;441803287;
37680700;441803287;441803403;
37680697;441803375;441803382;
37680697;441803382;441803385;
37680697;441803385;1824641449;
37680697;1824641449;441803112;
37681026;441803604;441803607;
37681028;441803604;441813273;
37681028;441813273;441813274;
37681028;441813274;441803333;
37681028;441803333;441813275;
37681028;441813275;441813276;
37681028;441813276;441813252;
37681028;441813252;441803436;
37681028;441803436;441813277;
37681028;441813277;441803018;
37681028;441803018;1563326055;
37681028;1563326055;1563326056;
37681028;1563326056;441805507;
37681028;441805507;441805493;
37681028;441805493;441813278;
